"address","protocol_version","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization"
"ggky46nf75vkxlmjjoc5pekxb2rfio4dik7dinixqwr72vply32peayd.onion:8333","70016","/Satoshi:27.1.0/","1749937465","3081","901501",,,,"0.0","0.0",,"TOR","Tor network"
"h2mjqxclmjnqbvo22r53nldklj4cg3vla5l45yu6oifnw6qbfdzy6oyd.onion:8333","70016","/Satoshi:28.1.0/","1749989804","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"nshu3ctbw62jwgw7et7ghpkytgeziotoy7eohfvbpltzwflrzb274vqd.onion:8333","70016","/Satoshi:28.0.0/","1749985975","3081","901501",,,,"0.0","0.0",,"TOR","Tor network"
"icrtc6776ailxjb6xmxalvz52rzf33d5hqx5xhiqfgkxxmfhwhcct6id.onion:8333","70016","/Satoshi:26.0.0/","1749892218","1037","901501",,,,"0.0","0.0",,"TOR","Tor network"
"6oamixr7vlpweztduskip66beb2zhvtlbjlaxpmexaj5inqnlcg6f2yd.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1750035473","67111949","901501",,,,"0.0","0.0",,"TOR","Tor network"
"79.134.99.114:8333","70016","/Satoshi:29.0.0/","1749563000","3081","901501","79.134.99.114","Helsinki","FI","60.1617","24.9181","Europe/Helsinki","AS16302","Suomi Communications Oy"
"ce6r5dpzs64kkzig2v3qocjqi777czkd2em4pje2jbtvcapmty6ettyd.onion:8333","70016","/Satoshi:26.0.0/","1750037425","1037","901501",,,,"0.0","0.0",,"TOR","Tor network"
"ydja6pdpqwtufmvtnqxizlzgl2vst7syqbjxvamhsuk2krcetai3l5ad.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1749985976","67109901","901501",,,,"0.0","0.0",,"TOR","Tor network"
"185.70.43.194:8333","70016","/Satoshi:26.0.0/","1734415261","1101","901501","185-70-43-194.protonmail.ch",,"CH","47.1449","8.1551","Europe/Zurich","AS62371","Proton AG"
"l4khrthoa7a2ywp7pvflxnc3nfsi4gyie3ogwopedi2cqf6w7ahn6mid.onion:8333","70016","/Satoshi:28.1.0/","1749865709","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"fkwoysbplpigsmoyqr3balnh434cr3r2f5oq5bhzir6ozdrbzvsbccqd.onion:8333","70016","/Satoshi:28.0.0/","1749940591","3081","901501",,,,"0.0","0.0",,"TOR","Tor network"
"qdnzuaark3n47vlrql3b2t7hmmohji7jgpkog2nwbmfnnyqssbpphoid.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1750009767","67109901","901501",,,,"0.0","0.0",,"TOR","Tor network"
"olqnqxiuf5hvudzo5ydm2rnamc6p7ru357g6kg5l2n2f2mjjreysmiad.onion:8333","70016","/Satoshi:26.0.0/","1749881583","1037","901501",,,,"0.0","0.0",,"TOR","Tor network"
"776nffvoapx5rl62z3xxc5xhfzy44cgtw4mgh7fguryk2hf2iywhr4ad.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1750012293","67109901","901501",,,,"0.0","0.0",,"TOR","Tor network"
"qyin5uqjono4auj5llt2vinf3vt5k3tz3xw54r6nlbhpmximmnw6hbad.onion:8333","70016","/Satoshi:26.0.0/","1749817104","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"uusbildh3cykbppzp5rvvilcz3iyu52o3lfim3si4sj3ityzfn7prpid.onion:8333","70016","/Satoshi:28.1.0/","1749938080","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"eenva3lpk75orgcq3o4np2bjjbg2x264l3bon3rapnupp54jtdofjuid.onion:8333","70016","/Satoshi:28.0.0/","1749958118","3080","901501",,,,"0.0","0.0",,"TOR","Tor network"
"74nidyoh3vr4cozx7k7uxzj5by4wzijmsa3rd4jr4qwqxqqyvhykljqd.onion:8333","70016","/Satoshi:28.1.0/","1749844687","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"7wdg2kklngrxfzihoi3mxhvkblhwk5bpmxzobaz42nthy65fnickd7id.onion:8333","70016","/Satoshi:28.1.0/","1749889716","3145","901501",,,,"0.0","0.0",,"TOR","Tor network"
"ximsnnqifspqkrvkdebsrxmggzlu64hsxjp3qw55uosflvbgp5kz2qyd.onion:8333","70016","/Satoshi:26.0.0/","1750008518","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"gxcz6ew4ifiuxopmkkpuzewwhkwxgq524ct7rnsimblu665gbydvs2id.onion:8333","70016","/Satoshi:24.2.0/","1749868289","1033","901501",,,,"0.0","0.0",,"TOR","Tor network"
"kbnylvvy336wh7s3o5fy5l5jb2ealca6wscxnwozb42qd4aopgj5rjad.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1749987247","67111948","901501",,,,"0.0","0.0",,"TOR","Tor network"
"c7e6bmzv27qiz6cgrtqczwz42j7drbl4fwc2lyxjvnyar7rvhaewqqad.onion:8333","70016","/Satoshi:28.0.0/","1750030981","3081","901501",,,,"0.0","0.0",,"TOR","Tor network"
"fd65mzli5c5tuqgegqo43wnzvmaj5yq7ush4fi7zuofuze3ybvxdpcyd.onion:8333","70016","/Satoshi:28.1.0/Knots:20250305/","1749777198","67111949","901501",,,,"0.0","0.0",,"TOR","Tor network"
